state_name;district_name;Total No. of JobCards issued;Total No. of Workers;Total No. of Active Job Cards;Total No. of Active Workers;SC workers against active workers;ST workers against active workers;Approved Labour Budget;Persondays of Central Liability so far;SC persondays;ST persondays;Women Persondays;Average days of employment provided per Household;Average Wage rate per day per person(Rs.);Total No of HHs completed 100 Days of Wage Employment;Total Households Worked;Total Individuals Worked;Differently abled persons worked;Number of GPs with NIL exp;Total No. of Works Takenup (New+Spill Over);Number of Ongoing Works;Number of Completed Works;% of NRM Expenditure(Public + Individual);% of Category B Works;% of Expenditure on Agriculture & Agriculture Allied Works;Total Exp(Rs. in Lakhs.);Wages(Rs. In Lakhs);Material and skilled Wages(Rs. In Lakhs);Total Adm Expenditure (Rs. in Lakhs.)
ODISHA;GAJAPATI;106058;194535;89299;169423;11848;110077;3084144;1718468;98458;1154559;868021;34;231.220756;915;49781;74175;140;1;16706;14450;2256;27.12;37;56.49;5013.130775;3973.454701;904.625084;135.05099
ODISHA;BOUDH;93488;171525;74201;141681;28812;15503;1572236;1499120;260296;147420;696005;37;240.414033;672;39766;64774;41;0;12208;11556;652;36.17;65;38.71;3913.370401;3604.094851;219.4396594;89.83589
ODISHA;SONEPUR;114459;196695;82699;147520;30196;11392;1598668;1203597;211575;82308;477888;32;252.2442557;363;37430;54980;63;0;10439;9708;731;37.71;60;36.13;3817.571067;3036.004294;636.358513;145.20826
ODISHA;NUAPADA;99993;229899;86784;207971;28393;83230;4384709;2101350;295561;870736;1069325;41;362.4945931;4237;51106;99910;662;0;29769;26204;3565;23.32;61;50.4;8316.543855;7617.280131;552.9061133;146.35761
ODISHA;RAYAGADA;146588;243797;123911;210523;35722;131016;6310839;2771261;492827;1679899;1348332;39;236.9338142;1673;70992;104304;449;0;25241;23249;1992;17.88;17;57.15;8276.316088;6566.054389;1575.961269;134.30043
ODISHA;NABARANGAPUR;213957;362589;175661;306931;45474;173257;6623489;4254878;601205;2417569;1888413;47;235.6834377;6176;90365;133701;241;0;27395;26076;1319;35.46;55;35.51;10769.16503;10028.04274;633.1444776;107.97781
ODISHA;MALKANGIRI;112455;191165;95684;167442;39760;100045;3366329;2316180;547427;1397089;1038947;42;241.4522819;2752;54906;78652;303;1;16988;15381;1607;22.31;45;55.75;6680.233691;5592.469463;909.5498585;178.21437
PUDUCHERRY;KARAIKAL;16730;21115;14264;18367;7285;29;253000;366778;141961;545;319083;31;294.1687669;0;11616;12308;26;0;501;377;124;76.47;0;23.52;1097.68442;1078.94632;3.3381;15.4
PUDUCHERRY;PONDICHERRY;57196;89765;44755;72524;20027;206;547000;916601;227386;3147;797189;25;273.9509034;0;35744;39705;160;15;318;248;70;61.55;0;6.81;2645.845446;2511.03672;80.1346855;54.67404
PUNJAB;AMRITSAR;99632;124519;61793;79330;59303;42;959938;675658;518243;442;399760;24;302.1551325;25;27705;29738;37;105;9590;7723;1867;8.32;26;43.0;2367.503737;2041.535325;325.968412;0.0
PUNJAB;BARNALA;37615;60199;26339;44388;38231;15;608916;419759;373062;150;300758;25;302.5168644;47;16529;19075;56;1;2516;1842;674;17.16;29;36.66;1494.745294;1269.841765;224.9035292;0.0
PUNJAB;BHATINDA;100627;167563;67695;121635;97471;7;1392049;935337;758228;9;702517;19;304.3369138;7;47171;55764;807;2;4067;2830;1237;6.1;13;77.45;3046.182157;2846.57576;199.6063978;0.0
PUNJAB;FARIDKOT;52191;91661;40056;74035;58004;3;778835;531369;433960;4;362309;21;301.3639354;2;24180;31208;100;7;1869;1291;578;3.29;13;79.36;1778.405925;1601.35453;177.0513945;0.0
PUNJAB;FATEHGARH SAHIB;54150;80518;36871;58513;43782;0;1695657;1138564;865581;0;914932;42;305.6837894;43;26695;28916;162;1;6056;5061;995;29.08;32;21.84;3608.051966;3480.40558;127.6463856;0.0
PUNJAB;Fazilka;137306;249660;107560;202496;113691;67;2357021;1574093;922187;591;944755;21;273.6119727;23;71968;100376;190;8;5902;4269;1633;7.54;45;51.82;6277.97431;4306.90691;1971.0674;0.0
PUNJAB;FEROZEPUR;111698;171259;67638;108077;86635;69;1399142;996294;808341;317;529140;26;293.6735323;88;37360;46444;46;121;11609;9151;2458;10.14;30;49.28;3623.435515;2925.851782;697.5837329;0.0
PUNJAB;GURDASPUR;108960;124685;61486;70965;9300;5;938483;620523;82492;52;287225;25;300.6575104;62;24495;26120;41;164;11338;8668;2670;19.35;49;51.63;3375.25597;1865.649003;1509.606967;0.0
PUNJAB;HOSHIARPUR;107204;161870;68853;109068;65307;57;1153152;810323;463305;618;491936;28;313.3282047;16;28590;29966;19;181;9742;7208;2534;18.1;27;56.23;2908.348086;2538.970508;369.3775781;0.0
PUNJAB;JALANDHAR;72401;97144;41389;56407;50676;1;379660;282464;263996;0;212498;21;307.2938151;2;13253;14043;17;257;5298;4635;663;11.58;37;74.41;1285.890317;867.9944019;417.8959151;0.0
PUNJAB;KAPURTHALA;46259;65495;30318;43464;35748;91;459942;332331;284167;884;248576;23;300.1209367;2;14386;15401;32;59;5517;4871;646;11.44;29;25.5;1497.696895;997.39491;500.3019849;0.0
PUNJAB;LUDHIANA;105079;131988;69658;92478;76895;9;2095812;1453639;1228952;262;1201034;30;301.2291392;24;47261;50378;75;29;10339;7962;2377;17.67;27;41.15;5390.713484;4378.784247;1011.929237;0.0
PUNJAB;MALERKOTLA;19548;26602;13323;19366;16371;2;343493;263189;226243;45;209409;27;307.0802427;4;9617;10567;16;18;1212;1115;97;17.33;19;24.26;820.8799977;808.20142;12.6785777;0.0
PUNJAB;MANSA;82035;143041;50894;97292;76609;0;1017428;673487;540755;0;497682;21;263.5852793;13;30620;35863;184;6;2998;1663;1335;33.22;35;47.53;1925.80233;1775.21259;150.5897402;0.0
PUNJAB;MOGA;90528;146852;59367;101191;90765;21;1126109;762605;693730;97;554961;22;300.0148966;15;33810;39443;49;8;4286;3190;1096;16.31;13;48.99;2479.810673;2287.928602;191.8820713;0.0
PUNJAB;MUKATSAR;103162;190786;78105;150743;126542;67;1413659;946916;812467;285;657187;19;317.1093969;3;48833;62529;176;5;8162;6220;1942;10.46;38;52.31;3603.801349;3002.759617;601.0417326;0.0
PUNJAB;NAWANSHAHR;48594;62743;33793;45234;29775;2;902454;611005;446384;0;456335;30;311.9047106;11;19821;20934;26;9;4872;4158;714;33.66;36;52.73;2564.888878;1905.753377;659.1355009;0.0
PUNJAB;Pathankot;39806;51669;23891;31066;14497;2;581060;400317;178194;0;109546;37;305.1509004;36;10660;11469;22;22;4776;4184;592;7.25;31;62.99;1869.991389;1221.57093;648.4204593;0.0
PUNJAB;PATIALA;127022;182459;88758;135450;88417;3;1767165;1208546;813023;44;937765;22;308.7937137;16;54483;60561;116;68;9204;7398;1806;24.39;26;45.62;3820.487555;3731.914075;88.57348082;0.0
PUNJAB;ROPAR;51471;72299;30905;46080;25612;12;699692;515954;325110;72;405804;30;306.1366537;4;16908;18045;28;67;5081;4757;324;7.24;42;62.0;1717.990023;1579.52431;138.4657127;0.0
PUNJAB;SANGRUR;84026;125726;62260;98436;76638;16;1727998;1146535;906536;153;835608;25;306.8624069;32;44204;49351;88;8;5112;4017;1095;32.9;19;46.09;4044.370906;3518.284897;526.0860085;0.0
PUNJAB;SAS NAGAR MOHALI;33673;44707;18309;25058;11853;8;380004;254054;117317;105;213717;30;298.6231746;11;8409;8938;11;58;3577;2989;588;24.8;37;53.19;938.1853317;758.66412;179.5212117;0.0
PUNJAB;TARN TARAN;105450;153385;44712;61915;45847;16;822331;590491;438886;1488;343047;24;308.7226738;55;23971;25286;30;94;7349;7259;90;10.77;36;44.0;3019.331318;1822.979604;1196.351714;0.0
RAJASTHAN;SRI GANGANAGAR;320545;612506;266478;516453;267926;1495;5037550;5219127;2967404;12892;3650898;29;197.7333873;240;178431;207602;543;0;17544;13754;3790;3.98;51;70.18;10768.28815;10319.95661;402.61119;45.72035
RAJASTHAN;HANUMANGARH;286695;606034;213788;457617;179481;1401;5120656;3873562;1805304;11779;2659706;29;209.4838927;129;133235;149107;309;0;13242;10446;2796;9.86;34;55.46;8751.656504;8114.488464;492.30195;144.86609
RAJASTHAN;BIKANER;403481;784011;317515;621544;224264;4735;5990143;5710689;2089008;47850;2943752;37;246.7933758;857;152152;224020;527;0;27993;19799;8194;23.0;58;36.74;15664.35613;14093.60216;1449.688329;121.06564
RAJASTHAN;CHURU;363264;733461;283698;582267;171512;5420;4042349;4592188;1485647;48537;2907612;38;203.9816764;403;120827;151915;265;0;18642;15248;3394;36.7;61;49.65;11090.97546;9367.222065;1674.495761;49.25763
RAJASTHAN;JHUNJHUNU;191976;365379;100651;199948;79662;5798;2587535;879708;441991;22393;584724;29;191.6647309;26;30077;32856;145;0;6809;5299;1510;53.89;53;27.24;1986.176961;1686.089971;223.07153;77.01546
RAJASTHAN;ALWAR;326450;599282;224064;423371;118641;63665;3217038;2189713;693668;358150;1656531;24;224.7242382;122;88179;101966;423;10;10299;9126;1173;53.91;31;9.23;5252.509232;4920.815859;261.6791629;70.01421
RAJASTHAN;BHARATPUR;378216;800786;214964;472913;125547;11041;2840112;1760370;445206;19981;1138239;25;203.2099161;144;69342;85419;554;2;6353;6177;176;44.6;43;13.91;3789.609369;3577.246399;151.97601;60.38696
RAJASTHAN;DHOLPUR;206316;414778;140091;288521;98969;25449;2402371;2034383;681225;193877;1164052;32;222.6699835;59;62117;83633;327;0;6278;5582;696;48.63;45;11.43;4855.03106;4529.96029;289.42591;35.64486
RAJASTHAN;KARAULI;256813;469104;185914;347757;84219;90426;4400032;2882734;689027;755246;1681737;34;226.7042503;267;83173;118436;389;1;14360;12092;2268;46.59;49;19.29;7097.632572;6535.280502;499.0256;63.32647
RAJASTHAN;SAWAI MADHOPUR;265880;574274;191460;417410;90865;105806;3057899;1703777;440753;397017;1047021;27;192.319263;87;61874;84331;266;3;16053;14056;1997;44.55;80;28.28;3457.72798;3276.69137;140.01245;41.02416
RAJASTHAN;DAUSA;213824;386677;141698;265190;57031;81366;2543737;981842;235050;285505;798455;25;207.2069304;24;39271;45939;166;7;6970;6645;325;60.78;51;22.91;2262.678229;2034.444669;185.46618;42.76738
RAJASTHAN;JAIPUR;448037;802906;284910;515396;121866;70723;3454026;2527761;658624;336982;2193558;26;198.4553247;117;94825;102992;266;8;11358;10102;1256;49.25;36;19.63;5592.617621;5016.476301;431.4359;144.70542
RAJASTHAN;SIKAR;307690;576702;141662;276142;98427;12580;3080422;1637108;637107;90593;1220451;33;220.5944465;174;48940;54467;132;1;9215;7624;1591;46.78;51;30.47;4070.896891;3611.369331;404.56573;54.96183
RAJASTHAN;NAGAUR;642006;1411728;523700;1167067;322084;2644;9005522;9849277;2944995;17164;7117319;33;213.3995182;229;295848;349937;967;0;30737;24031;6706;55.1;50;10.11;23117.05977;21018.30966;1769.593033;329.15707
RAJASTHAN;JODHPUR;585619;1233185;460278;973805;171919;33112;7611192;7549139;1434053;285721;5317570;34;203.5430501;787;217823;266821;547;4;24355;21869;2486;53.29;70;22.98;16716.87386;15365.74778;1036.649015;314.47707
RAJASTHAN;JAISALMER;165193;303036;147242;271806;41457;15997;3951558;4293178;726717;239995;2763072;46;232.6766419;1271;91808;129231;280;0;21453;16970;4483;50.74;53;18.43;11333.81977;9989.222402;1312.81738;31.77999
RAJASTHAN;BARMER;678297;1328842;588788;1159592;187368;75400;16461577;8979334;1475854;586403;5133772;41;252.4573891;2523;217850;337154;695;0;109164;72046;37118;10.73;93;66.67;27142.52287;22668.99218;4209.155121;264.37557
RAJASTHAN;JALORE;332111;674264;255918;522798;130418;65811;4999287;2761740;773286;372106;2250572;29;229.6094525;145;94668;108152;325;0;17193;15069;2124;42.17;67;28.82;6941.443768;6341.216094;463.365774;136.8619
RAJASTHAN;SIROHI;198121;413699;154691;330400;78904;109300;5054218;2918478;754051;938604;2406542;33;195.3409108;55;86277;98414;265;0;9074;7708;1366;49.44;54;29.89;6017.059727;5700.981507;269.5069;46.57132
RAJASTHAN;PALI;400136;881432;297922;666717;151711;61102;6820067;3513078;805417;434111;2927365;25;193.0900287;36;135843;147177;350;0;12266;11348;918;48.27;43;18.56;7499.122028;6783.403318;607.58374;108.13497
RAJASTHAN;AJMER;490880;916532;416229;783161;123024;25104;10818333;8907011;1407553;314932;6947577;30;189.9601608;242;288624;321272;985;0;19616;16729;2887;43.42;30;23.26;18134.68799;16919.77242;1134.261085;80.65449
RAJASTHAN;TONK;297704;674088;219157;501232;104150;78748;3893242;2787230;577069;583611;1658641;33;207.6227427;558;84039;120804;420;0;18624;15938;2686;18.11;80;50.65;6126.843326;5786.923372;292.020584;47.89937
RAJASTHAN;BUNDI;242948;570383;179376;425566;84539;108239;3956376;2078954;408633;546458;1380899;24;197.7916902;102;84909;101230;321;0;12590;11025;1565;17.62;65;38.21;4306.03336;4111.998255;120.9091645;73.12594
RAJASTHAN;BHILWARA;531185;964037;483371;885413;156020;97364;10453994;12307834;2120350;1363723;9450066;35;206.6584156;208;350090;410399;1053;0;33225;31018;2207;35.42;44;29.78;26860.79581;25435.17474;1293.37115;132.24992
RAJASTHAN;RAJSAMAND;252657;481105;206980;401704;70685;67302;7161278;5098581;977331;706121;4369407;39;212.6083409;128;130381;142734;846;0;9815;8819;996;59.49;33;23.82;11198.34327;10840.00847;306.01409;52.32071
RAJASTHAN;UDAIPUR;570656;1208270;409471;885272;33504;619650;10093031;8757657;301284;6562383;6133435;39;207.0538216;1040;223895;275886;647;1;43903;37423;6480;43.65;69;19.75;19708.07507;18133.0635;1366.424239;208.58733
RAJASTHAN;DUNGARPUR;402376;814325;364382;745497;21589;539055;10599563;15880813;433594;11684614;11134732;51;205.3067706;1266;308193;422422;1517;0;37493;28661;8832;53.87;46;12.23;34451.10593;32604.38431;1695.692263;151.02936
RAJASTHAN;BANSWARA;434546;903875;393921;830112;32232;674729;13689332;15040795;577572;12343806;8652364;47;208.1401395;3259;319461;516889;3504;2;53143;45114;8029;27.93;59;46.63;32220.6105;31305.9317;688.283864;226.39494
RAJASTHAN;CHITTORGARH;299268;598977;194492;404809;80292;79252;4578340;3609404;740503;816594;2591358;36;213.745521;344;99239;124954;324;0;11527;8509;3018;50.26;58;26.89;8135.247293;7714.939383;347.8677;72.44021
RAJASTHAN;KOTA;166799;338362;130118;270682;74682;46629;4118002;2804083;792573;477156;1971788;32;194.0830149;201;86342;106520;398;0;7945;6941;1004;27.33;52;33.61;5577.555907;5442.248827;85.2369;50.07018
RAJASTHAN;BARAN;260890;597777;189796;440185;89048;123716;3640350;2983441;628502;854327;1775464;32;190.7023706;874;93007;131636;309;3;16311;13260;3051;46.3;70;15.63;5998.350931;5689.492711;200.57563;108.28259
RAJASTHAN;JHALAWAR;361541;689977;313110;604152;134410;91325;7038593;10433366;2175635;1503318;5550138;43;215.8223101;879;237165;353642;679;0;32622;26782;5840;36.0;59;30.59;23517.6467;22517.53152;878.905568;121.20961
RAJASTHAN;PRATAPGARH;279938;525488;247896;472479;23096;355785;8282275;9370108;413233;7322946;5208916;48;202.217847;1130;191592;294650;1046;0;38334;32538;5796;27.48;75;33.68;19634.8382;18948.03066;618.80083;68.00671
SIKKIM;Gangtok District;11553;17558;8677;13296;926;4539;400000;286761;17403;90920;173931;45;251.781358;85;6359;7141;12;0;937;773;164;6.88;58;77.74;961.0532293;722.01074;206.9738993;32.06859
SIKKIM;Gyalshing District;14032;25191;12639;23400;1183;11696;600000;336452;15876;169851;185925;38;253.0626419;200;8809;11071;19;0;1238;826;412;12.58;74;68.36;1319.647951;851.43432;431.6532409;36.56039
SIKKIM;Mangan District;7943;11955;7034;10701;106;9967;200000;112932;192;107467;47663;23;278.636576;0;4758;4817;14;0;1053;940;113;1.68;71;83.49;467.3159287;314.669858;119.8110607;32.83501
SIKKIM;Namchi District;26712;46589;21600;38747;2216;11582;800000;418751;20855;122619;224757;28;247.9063869;37;14809;15901;39;0;3069;2298;771;25.13;48;62.03;1654.171146;1038.110474;561.8167817;54.24389
SIKKIM;PAKYONG;13191;17563;10837;14650;923;4136;400000;335089;19693;89280;207915;41;248.095808;87;8095;8509;34;0;1065;915;150;2.74;57;64.3;1091.718344;831.341762;224.1512517;36.22533
SIKKIM;SORENG;15254;24810;13682;22784;1120;9180;600000;349331;13601;139138;183966;36;243.4072155;79;9666;11067;7;0;1931;1561;370;24.74;74;62.04;1144.888078;850.29686;262.5319981;32.05922
TAMIL NADU;KANCHIPURAM;155119;203205;126277;168936;64681;2686;2997401;4624049;1803327;66489;4064746;42;255.8047506;372;109957;117296;1220;0;11052;5752;5300;45.1;47;40.46;14231.05393;11828.53701;2039.891709;362.62521
TAMIL NADU;TIRUVALLUR;336645;460895;260512;366437;145532;9929;7468085;8071659;3054266;225900;7333648;34;257.3427756;88;231503;239421;2851;0;18629;8683;9946;65.09;44;3.89;24638.54861;20771.83131;3253.020692;613.69661
TAMIL NADU;CUDDALORE;482685;819186;409741;724801;279890;3651;13330182;10009660;3781880;51657;7800504;27;257.9388681;253;365130;473008;4720;0;30322;14415;15907;42.69;67;41.26;30181.89232;25818.80371;3649.204531;713.88408
TAMIL NADU;VILLUPURAM;482904;777494;433061;710323;219449;8134;11336616;13432562;3908685;159506;11037268;34;246.0946686;1026;390707;451870;10616;0;31665;7024;24641;83.8;60;3.76;38128.70381;33056.81894;4179.53636;892.34851
TAMIL NADU;VELLORE;170321;227080;129125;171221;46395;5041;3479833;4704177;1192365;130826;4140115;41;235.2598532;243;113400;122324;1525;0;11752;5573;6179;81.98;67;4.74;12690.37165;11067.03991;1314.640318;308.69143
TAMIL NADU;TIRUVANNAMALAI;563823;829099;510255;764352;182060;31556;13417861;15831914;3714913;516951;13123545;33;266.0520585;1540;467724;518754;13585;0;28448;12534;15914;22.91;58;5.77;48731.14705;42121.1331;5725.74991;884.26404
TAMIL NADU;SALEM;498730;646045;352155;473693;95601;34377;8724755;11468572;2156077;746039;10265742;41;240.5076673;977;277435;301089;3609;0;24522;11211;13311;69.66;61;10.35;33857.32824;27582.79499;5870.512493;404.02076
TAMIL NADU;NAMAKKAL;258133;336233;186323;249423;72831;22729;4556282;5409184;1532437;461812;4835769;37;248.6506044;383;143241;153113;3243;0;11310;5457;5853;61.78;57;21.76;15892.75229;13449.96871;2109.087349;333.69623
TAMIL NADU;DHARMAPURI;279423;323644;236177;276626;39829;8398;6360250;7318219;993881;236258;6809431;34;241.316524;441;210204;225257;2297;0;13502;7740;5762;83.73;68;4.23;20245.46071;17660.07171;2273.70483;311.68417
TAMIL NADU;ERODE;246120;311330;152432;197911;60390;4388;3692350;3941376;1076972;82565;3416594;39;265.3403776;348;100915;104763;1387;0;11713;6604;5109;46.72;55;38.39;12441.32927;10458.06196;1652.685459;330.58185
TAMIL NADU;COIMBATORE;174219;219304;93244;119580;43647;2676;2325005;1387739;500016;20447;1275826;29;272.7112518;44;47828;49017;233;0;9706;5402;4304;41.98;57;38.25;5341.106367;3784.520399;1324.310117;232.27585
TAMIL NADU;THE NILGIRIS;58269;72090;37697;48475;14862;4074;988487;629047;185520;49332;530269;34;280.0387221;24;18345;19196;201;0;3114;1366;1748;50.85;73;24.84;2482.754552;1761.57518;621.0083819;100.17099
TAMIL NADU;THANJAVUR;334613;515829;273008;438234;146068;127;7595361;9075243;2689065;1979;7637233;38;262.1344325;1211;237902;287742;3502;0;22652;10864;11788;10.67;52;76.26;27204.48894;23789.33674;2742.400437;672.75176
TAMIL NADU;NAGAPATTINAM;122982;192158;108800;175476;88980;263;3175385;4705742;2300351;4109;3679363;48;257.5571338;453;96366;128568;718;0;15296;6086;9210;43.61;72;24.73;14268.02327;12119.97422;1983.988287;164.06076
TAMIL NADU;TIRUVARUR;241535;421163;185694;344462;188163;58;5506534;6105527;3212548;770;4693276;37;244.4808568;1043;161028;218409;2624;0;22488;9114;13374;68.44;62;7.78;18587.7697;14926.84472;3160.037555;500.88742
TAMIL NADU;TIRUCHIRAPPALLI;320335;402562;300805;379245;85574;5208;7283470;12078380;2578830;173413;10510203;43;283.8820704;1251;276445;308551;4245;0;16887;7619;9268;82.63;52;6.9;39151.69214;34288.35521;4209.046703;654.29023
TAMIL NADU;KARUR;162637;219252;130885;181276;45250;33;3205738;4110248;929928;730;3592798;40;257.6311118;663;102692;111602;1697;0;15035;5884;9151;55.49;74;29.8;12990.37101;10589.27762;2225.552584;175.54081
TAMIL NADU;PERAMBALUR;141403;196666;124522;177586;56774;518;3175385;4167664;1237521;17552;3536806;37;266.2250281;294;112445;131510;1443;0;7378;3425;3953;80.65;53;2.41;12154.73391;11095.36465;955.9163928;103.45286
TAMIL NADU;PUDUKKOTTAI;335030;504632;293716;452353;89630;4;7202202;9716387;1848413;121;8682218;36;263.4140552;250;265325;293163;1631;0;27362;12256;15106;62.3;56;15.86;29191.20123;25594.32902;3105.995164;490.87705
TAMIL NADU;MADURAI;331938;415249;271426;347031;76635;728;6429180;8242160;1719242;10406;7206947;34;254.3279979;519;239569;260508;4061;0;15567;7713;7854;66.64;48;18.15;25935.58457;20962.12051;4540.072773;433.39129
TAMIL NADU;THENI;147579;195173;91526;126633;32948;236;2411150;1593711;359455;1555;1363045;25;245.9669796;133;61858;67347;1046;0;3816;2425;1391;76.69;33;4.71;6123.807511;3920.00281;2036.919401;166.8853
TAMIL NADU;DINDIGUL;361451;484243;288771;396633;104482;502;8830341;9922161;2372136;10361;8492155;41;259.6609961;711;240701;263172;3406;0;12755;6212;6543;81.0;28;2.27;31165.24377;25763.98209;5092.851196;308.41048
TAMIL NADU;RAMANATHAPURAM;231334;300829;196692;260963;69546;17;5212152;8053973;2050672;308;7130086;46;257.6312988;473;172717;188342;1887;0;18319;9894;8425;70.78;53;10.88;25236.12842;20749.55524;4005.810982;480.7622
TAMIL NADU;VIRUDHUNAGAR;270684;353349;219914;294827;89478;122;5598652;9790233;2798043;2868;8638020;55;250.6896409;2170;175767;191651;3919;0;11038;5793;5245;82.77;40;1.72;27724.03109;24543.09995;2838.803304;342.12783
TAMIL NADU;SIVAGANGAI;228515;314920;190883;268643;58513;16;4820749;7846094;1566179;702;7125737;48;251.8756691;554;162143;171859;2387;0;19607;10286;9321;59.55;55;15.33;24936.96255;19762.40176;4756.135631;418.42516
TAMIL NADU;TIRUNELVELI;145777;194851;101340;139693;43412;164;2670176;2895476;838822;2560;2623318;38;255.4598335;117;75911;79918;657;0;7079;3569;3510;84.05;53;3.99;8803.756835;7396.77817;1074.458545;332.52012
TAMIL NADU;THOOTHUKKUDI;208671;274950;153186;205888;70592;227;3667745;5625709;1906830;3026;4982177;45;225.7756732;813;123221;131743;1949;0;9697;4243;5454;68.73;35;13.99;15547.08661;12701.48237;2458.459824;387.14442
TAMIL NADU;KANNIYAKUMARI;122736;157891;43452;59493;5483;376;1159871;1146606;110753;2982;992088;44;250.1001922;116;25830;26436;445;1;4109;2215;1894;45.88;59;31.58;3718.751606;2867.66381;675.3273459;175.76045
TAMIL NADU;KRISHNAGIRI;307498;355576;251413;292920;41620;2922;5917384;6672559;920121;55630;6101414;32;255.5559821;235;204831;214877;2678;0;20074;9276;10798;35.66;81;53.09;19514.70853;17052.12368;2104.832508;357.75234
TAMIL NADU;ARIYALUR;196915;289822;178599;268829;62015;3256;5308804;4514068;986009;48132;3623746;27;238.457485;88;162012;201285;1725;0;10932;4570;6362;77.43;57;11.42;12143.42064;10764.13302;1205.811559;173.47606
TAMIL NADU;TIRUPPUR;240821;319825;150836;202821;83962;339;3786754;4117675;1509061;2950;3555310;42;254.9106956;571;97101;101104;552;0;12060;5950;6110;52.88;53;27.12;13784.71214;10496.39399;3070.66468;217.65347
TAMIL NADU;CHENGALPATTU;243998;311412;198821;261533;116651;4575;5132485;7083317;3062153;117035;6198753;40;248.6632337;272;173555;186776;4017;0;15139;5926;9213;36.74;59;46.19;20674.54041;17613.60511;2738.996894;321.93841
TAMIL NADU;Ranipet;188850;280743;153584;236579;62375;2299;3591113;4766196;1221621;44840;4293716;34;238.1965222;141;137109;149411;1860;0;8184;3781;4403;85.78;55;1.46;13177.05967;11352.91311;1603.177434;220.96912
TAMIL NADU;TIRUPATHUR;158987;209346;126632;169630;31826;5981;3663863;4274951;760630;137801;3903338;39;252.432753;100;108857;117120;1068;0;18943;7716;11227;31.27;85;53.9;12206.97289;10791.3765;1241.255143;174.34125
TAMIL NADU;TENKASI;184292;275932;142745;221033;73949;89;3716278;4762449;1488149;993;3921573;40;262.0526605;638;118424;138402;2015;0;8518;3454;5064;79.24;49;3.99;14425.75065;12480.12431;1727.704125;217.92222
TAMIL NADU;KALLAKURICHI;323357;614253;290856;568417;187117;23752;7361912;6692194;2190012;180570;4955480;26;244.1257422;153;257031;355461;2956;0;20117;9299;10818;73.8;61;8.29;22097.44444;16337.36827;5354.391591;405.68458
TAMIL NADU;MAYILADUTHURAI;175038;292182;154821;267268;125886;318;4900209;5666456;2568524;6178;4210797;38;261.5158345;1022;145672;207465;1310;0;14678;5254;9424;47.87;72;33.38;17668.66012;14818.67969;2611.479175;238.50125
TELANGANA;Mahabubnagar;142577;232938;87325;160820;27846;25479;1800000;2300875;364038;364208;1590709;43;197.1674958;477;53390;74889;556;0;20372;17935;2437;29.82;33;41.78;8305.590021;4536.57762;3435.774421;333.23798
TELANGANA;Vikarabad;189582;389526;132195;290062;80699;39057;3300000;4335535;1305476;524590;2474141;46;190.0649736;817;92782;162554;1729;0;25860;24435;1425;16.76;41;39.2;14922.90653;8240.333453;6290.31891;392.25417
TELANGANA;Medak;171832;343254;118798;256284;50307;33178;2600000;2989362;533522;429445;1744457;38;189.4711674;286;77675;133217;1235;0;12746;11982;764;64.0;8;16.24;10456.50604;5663.979078;4467.84676;324.6802
TELANGANA;Nizamabad;267518;508201;175213;348055;75866;51965;3700000;3552046;779823;643910;2383090;35;161.2208087;164;98853;138756;2115;0;17330;14815;2515;50.52;5;13.78;11984.39597;5726.637285;5823.862007;433.89668
TELANGANA;Adilabad;171598;343406;112048;243481;41859;110310;2000000;2787602;468893;1461537;1415292;41;211.2908537;407;66674;121690;1196;0;17597;16260;1337;19.07;35;54.47;10290.80948;5889.948064;4085.205799;315.65562
TELANGANA;Karimnagar;138187;257719;84256;169091;46850;1293;1600000;1404449;412377;9243;1032109;30;204.9193107;352;46407;61478;1096;0;15573;12310;3263;22.62;20;42.3;5846.685177;2877.98721;2738.901207;229.79676
TELANGANA;Warangal;129721;266809;82104;177651;31197;44076;1500000;1300252;225784;311856;870498;30;163.4828028;109;42288;64040;935;0;13148;10563;2585;20.72;24;27.49;4474.053587;2125.688413;2119.867324;228.49785
TELANGANA;Khammam;321419;682479;188014;430464;110926;94702;3300000;3573907;851478;924115;2231548;29;203.0211859;125;119919;187633;2549;0;31082;23996;7086;25.51;27;58.31;12585.60054;7255.788376;4756.610008;573.20216
TELANGANA;Nalgonda;377848;807864;238045;550496;116010;109360;3600000;5525910;1048984;1297681;3517276;35;160.0771607;599;156527;256876;3924;0;33547;27979;5568;23.9;35;29.89;15390.1798;8845.71983;5911.872507;632.58746
TELANGANA;Jogulamba Gadwal;169634;364018;88838;202605;46161;3131;1600000;1592813;397334;17662;879413;33;166.5427332;211;47956;79661;650;0;16824;16135;689;5.11;42;71.16;5595.846144;2652.714305;2706.51287;236.61897
TELANGANA;Hanumakonda;103704;220482;61570;138070;37094;4054;1100000;1411856;353562;47223;943798;37;157.1211385;203;37794;57538;590;0;7928;6735;1193;46.83;23;16.14;4264.295903;2218.324222;1816.507772;229.46391
TELANGANA;Jagtial;170451;277777;107879;191272;50510;9361;1800000;2298369;581319;150718;1714811;35;211.2284931;128;64420;82705;671;0;15917;12311;3606;56.01;27;20.26;8450.176288;4854.810204;3319.250894;276.11519
